SiteCode,Year,CAMPAGNE,VOLET,DATE,JOURJULIEN,Site,Lac,LATITUDE,LONGITUDE,Region,TYPE,VENTMAX,VENTMOY,TEMPAIR,HUMREL,PATM,NUAGE,VAGUES,SecchiDepth,MaxDepth,DepthEPILIMNION,ZÉCH,Temp,Conductivity,Doperc,Docorr,DOmgL,pH,Alcalinity,AbundanceBact,ABONDANCE BACT. _ ES (cells/ml),PRODUCTION BACT._MOY       (µg C/L/j),RESPIRATION TOTALE _ MOY (µgC/L/j),RESPIRATION TOTALE _ ES (µgC/L/j),RESPIRATION BACT. _ MOY (µgC/L/j), RESPIRATION BACT. _ ES (µgC/L/j),ZooBiomass,ZBP (mg C m-3 j-1),ZP:B CBA (j-1),ZP:B LOPC (j-1),ChlA, CHL a _ ES (µg/L),TP, TP _ ES (µg/L), TN, TN _ ES (mg/L),NH4,[NH4] _ ES (ug/L),NO3,[NO3] _ ES (ug/L),Iron, DOC, DOC _ ES (mg/L - ppm), DIC, DIC _ ES (mg/L - ppm), LABILITÉ, LABILITÉ _ ES (mgC/L/j),COULEUR-CDOM      ABS. 440nm (m-1),FLUORESCENCE C1 (Ru),FLUORESCENCE C2 (Ru),FLUORESCENCE C3 (Ru),FLUORESCENCE C4 (Ru),FLUORESCENCE C5 (Ru),FLUORESCENCE C6 (Ru),pCO2 AIR AMBIANT DE EGM (ppm),pCO2 EAU (ppm) DE EGM,pCH4 EAU _ MOY (ppm)  DU GC,pCH4 EAU _ ES (ppm)  DU GC,pN2O EAU _ MOY  (ppm)  DU GC Rox,pN2O EAU _  ES (ppm)  DU GC Rox,FLUX CO2 _ MOY (mmol m-2 d-1) EGM ,FLUX CH4 (mmol m-2 d-1) GC,FLUX N2O (mmol m-2 d-1) GC Rox,k600 (m j-1),KCO2 (m j-1),2H2O (Hatch Lab),H2O18 (Hatch Lab),2H2O (Colorado),H2O18 (Colorado),2H2O (UTrent),H2O18 (UTrent),H2O17 (LSCE),O17 (Hatch Lab),O18 (Hatch Lab),DIC13 (Hatch Lab),DIC13 (Colorado),DOC13 (Hatch Lab),DOC13 (Colorado),ppmDIC (Hatch Lab),ppmDIC (Colorado),ppmDOC (Hatch Lab),ppmDOC (Colorado),%C POM (Colorado),%N POM (Colorado),C13 POM (Colorado),N15 POM (Colorado),C/N POM (Colorado),H2 POM (Colorado),%H (Colorado),H2 DOM (Colorado),mgPOC/L/filter (Colorado),pour trier,Commentaires
425731149,2010,1,L,27-05-2010,147,L001,Lac Hébécourt,48.5045,-79.3896,Abitibi,clay,3.07,2.23,24.7,64,980.27,6,7,1.4,4.1,-,0.5,22.33,94,97.4,100.53,8.46,7.54,,3686108,83671,6.02,58.5,13.5,86.85,18.5,,,,,1.83,0.06,18.99,0.49,0.357,0.019,,,,,,10.764,0.099,8.098,0.009,-0.023,0.001,1.96,0.676,0.841,0.328,0.145,0.335,0.71,410,1070,75.13,,,,58.86,0.415,,2.255,2.434,,,,,,,,,,-7.93,,-27.38,,8.96,,12.3,,175.59,17.7,-31.04,2.06,9.92,-161.8,0.2,0.2,0.322,2,
425731128,2010,1,L,28-05-2010,148,L002,Lac Francis,48.5256,-79.4706,Abitibi,"kettle, bog",3.83,2.3,16.67,80.27,981.1,6,3,1.5,5.3,1,0.5,21.6,14,48.9,49.8,4.25,6.18,,894017,84055,7.57,116.64,11.25,95.4,5.4,,,,,3.39,0.27,13.66,0.06,0.354,0.001,,,,,,9.472,0.008,2.024,0.016,-0.037,0,2.99,0,0.902,0,0.51,0.59,6.19,397,2881,134.04,,,,339.16,7.882,,3.463,3.65,,,,,,,,,,-13.84,,-27.18,,1.9,,11.7,,,,,,,,,,,3,pCO2 EAU: mesuré par headspace et non par poumon
425716242,2010,1,L,28-05-2010,148,L003,Lac Monsabrais,48.47569,-79.41332,Abitibi,bog,5,3.87,19.6,69.77,983.27,8,8,2,2,-,0.5,23.68,73,92.4,95.15,7.82,7.39,,,,6.18,90,9,54,0,,,,,3.52,0.42,13.78,0.18,0.355,0.013,,,,,,10.487,0.029,7.535,0.02,-0.028,0.004,2.99,,,,,,,385,1537,1066.52,6.84,,,176.22,4.331,,3.846,4.333,,,,,,,,,,-6.83,,-26.85,,7.95,,7.3,,,,,,,,,,,4,
425626561,2010,1,L,29-05-2010,149,L004,Lac Joannès,48.19287,-78.67847,Abitibi,"kettle géant, inlets",4.13,3.23,13.03,63,981.7,2,15,1.9,8.5,3,0.5,18.82,57,95.3,98.35,8.87,7.42,,928636,22636,8.09,49.5,4.5,49.5,4.5,,,,,4.23,0.39,8.57,0,0.342,0.012,,,,,,13.511,0.19,4.186,0.05,-0.042,0.006,7.59,2.019,2.01,0.642,0.356,0.289,0.959,391,703,39.25,,,,37.44,0.033,,3.076,2.96,,,,,,,,,,-9.63,,-27.6,,5.12,,8.4,,,,,,,,,,,5,
425626560,2010,1,L,29-05-2010,149,L005,Lac Vaudray,48.11205,-78.67468,Abitibi,"kettle géant, inlets",2.67,1.57,18.17,40.6,978.7,2,9,1.9,7,-,0.5,16.57,30,100.3,103.77,9.78,6.92,,433564,113733,3.98,54,0,58.5,4.5,,,,,1.84,0.09,4.41,0.86,0.246,0.007,,,,,,11.219,0.014,1.406,0.004,-0.027,0.004,4.95,1.419,1.437,0.383,0.334,0.139,0.739,398,643,18.4,3.05,,,26.93,0.107,,2.845,2.534,,,,,,,,,,-9.28,,-27.49,,1.98,,10.6,,,,,,,,,,,6,
425700956,2010,1,L,30-05-2010,150,L006,Lac Drolet,48.2768,-78.96599,Abitibi,bog,2.17,1.6,11.27,76.8,980.17,8,2,1.5,3.7,2.5,0.5,20.08,47,85.8,88.68,7.79,6.98,,3059972,111225,23.06,85.5,4.5,58.5,4.5,,,,,4.32,0.48,19.54,0.8,0.455,0,,,,,,12.02,0.007,3.836,0.022,-0.1,0.006,3.8,1.212,1.34,0.497,0.276,0.371,0.603,399,1606,232.74,37.34,,,121.63,0.373,,2.571,2.579,,,,,,,,,,-10.82,,-27.74,,4.43,,7.9,,,,,,,,,,,7,
425626559,2010,1,L,30-05-2010,150,L007,Lac Bruyère,48.16346,-78.94785,Abitibi,clay,3.03,1.77,13.57,62.27,983.6,8,8,1.65,3,-,0.5,20.29,144,96.1,98.89,8.68,7.93,,2111727,97887,12.22,139.5,13.5,40.5,4.5,,,,,7.94,1.97,26.34,1.22,0.473,0.024,,,,,,11.815,0.002,9.226,0.02,-0.03,0.001,2.42,0.849,1.033,0.435,0.16,0.359,0.446,392,532,62.53,1.7,,,6.73,0.074,,1.225,1.238,,,,,,,,,,-10.23,,-27,,10.42,,1.6,,,,,,,,,,,8,
425716241,2010,1,L,02-06-2010,153,L011,Lac d'Alembert,48.38418,-79.01048,Abitibi,"clay, humique, productif",4.17,2.23,15.67,75.13,970.97,6,18,1.3,6.9,3.5,0.5,18.6,60,104.5,108.71,9.77,7.31,,2389063,307,6,76.5,13.5,54,9,,,,,6.98,0.54,12.38,1.07,0.395,0.027,,,,,8.047,10.935,0.014,4.4,0.005,-0.011,0,3.91,0.87,1.031,0.346,0.254,0.299,0.322,391,496,67.54,2.67,,,14.89,0.233,,3.638,3.474,,,,,-94.77,-12.74,,,,-9.77,,-28.02,,4.77,,3.9,,,,,,,,,,,12,
425716232,2010,1,L,02-06-2010,153,L012,Lac Dufresnoy,48.43601,-79.02133,Abitibi,clay,5.53,3.47,15.53,63.43,973.97,6,25,0.75,3.1,-,0.5,19.13,820,87.5,90.69,8.09,7.44,,1652427,72395,40.7,,,,,,,,,4.77,,24.96,0.19,0.357,0.01,,,,,12.254,10.013,0.051,7.438,0.066,,,2.42,0.678,0.85,0.359,0.11,0.329,0.361,385,102,99.4,11.16,,,87.56,0.523,,-7.919,-7.699,,,,,-92.09,-11.97,,,,,,,,,,,,,,,,,,,,,13,
425691719.1,2010,1,L,02-06-2010,153,L013,Lac Fortune,48.19022,-79.30344,Abitibi,clear water,1.63,1.23,17.37,45.07,975.2,2,3,4.25,13.6,3,0.5,19.87,155,98.5,101.87,8.97,8.1,,1354679,18545,59.1,44.55,5.85,36.45,4.95,,,,,1.77,0.2,6.59,1.2,0.221,0.001,,,,,0.635,6.985,0.036,9.338,0.034,-0.022,0.003,0.35,0.044,0.139,0.06,0.009,0.099,0.129,373,379,151.1,2.34,,,-27.16,0.032,,-115.553,-115.134,,,-71.63,-8.66,,,,,,-4.21,-3.56,-27.6,-26.49,9.74,8.9,4,4.6,97.94,14.32,-29.76,1.68,6.84,-125.4,0.1,,0.098,14,
